Id,Name,InvoiceWork__c,InvoiceWork__r.Name,InvoiceWork__r.FreeeInvoiceId__c,InvoiceWork__r.BillingDate__c,InvoiceWork__r.PartnerName__c,Description__c,Quantity__c,UnitPrice__c,LineAmount__c,TaxAmount__c,SuggestedProductMaster__c,SuggestedProductMaster__r.Name,ConfirmedProductMaster__c,ConfirmedProductMaster__r.Name,ProductResolveStatus__c,ResolveConfidence__c,ResolveMessage__c
a0ERB00000Ok1gQ2AR,MFILW-000460,a0FRB00000WjFOy2AN,MFIW-000350,56698344,2026-04-20,株式会社フジタ,年払い割引,3,-12000,-36000,-3600,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,確定済み,0.98,同じ請求内の主商品が一意に確定しているため、割引・調整行を同じ商品へ自動紐づけしました。
a0ERB00000OjwWr2AJ,MFILW-000368,a0FRB00000WjTml2AF,MFIW-000267,58711460,2026-05-20,近鉄不動産株式会社,[月額費用]Rendery Enterpriseプラン_11アカウント,11,15000,165000,16500,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,,,候補あり,0.75,Matched by unit price and product name.
a0ERB00000OjwWs2AJ,MFILW-000369,a0FRB00000WjTml2AF,MFIW-000267,58711460,2026-05-20,近鉄不動産株式会社,[月額費用]セキュリティオプション+_運用費用,1,100000,100000,10000,a0CRB0000CcXZ6a2QG,Rendery セキュリティオプション(SSO)_初期費用,,,要確認,0.65,No ProductMaster candidate found.
a0ERB00000PHeU52AL,MFILW-000485,a0FRB00000YomM12AJ,MFIW-000374,62989809,2026-07-14,野村不動産株式会社,外観モデル,6,75000,450000,45000,,,,,要確認,,No ProductMaster candidate found.
a0ERB00000PIEvp2AH,MFILW-000510,a0FRB00000Yq7Em2AJ,MFIW-000398,63077980,2026-07-20,近鉄不動産株式会社,[月額費用]Rendery Enterpriseプラン_11アカウント,12,15000,180000,18000,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,,,候補あり,0.75,Matched by unit price and product name.
a0ERB00000PIEvq2AH,MFILW-000511,a0FRB00000Yq7Em2AJ,MFIW-000398,63077980,2026-07-20,近鉄不動産株式会社,[月額費用]セキュリティオプション+_運用費用,1,100000,100000,10000,a0CRB0000CcXZ6a2QG,Rendery セキュリティオプション(SSO)_初期費用,,,要確認,0.65,No ProductMaster candidate found.
a0ERB00000PfjKX2AZ,MFILW-000587,a0FRB00000Yq7Em2AJ,MFIW-000398,63077980,2026-07-20,近鉄不動産株式会社,[月額費用]Rendery Enterpriseプラン,15,15000,225000,22500,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,,,候補あり,0.75,Matched by unit price and product name.
a0ERB00000PfjKY2AZ,MFILW-000588,a0FRB00000Yq7Em2AJ,MFIW-000398,63077980,2026-07-20,近鉄不動産株式会社,[月額費用]セキュリティオプション+_運用費用,1,100000,100000,10000,,,,,要確認,,No ProductMaster candidate found.
a0ERB00000PISaq2AH,MFILW-000537,a0FRB00000YqK412AF,MFIW-000413,63126510,2026-07-20,野村不動産株式会社,Rendery Enterpriseプラン_年払い,120,14000,1680000,168000,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,要確認,0.75,年払い明細のため、請求タイミングが「年一括」の商品マスタへ確定しました。
a0ERB00000PISar2AH,MFILW-000538,a0FRB00000YqK412AF,MFIW-000413,63126510,2026-07-20,野村不動産株式会社,セキュリティオプション(シングルサインオン)月額費用,12,30000,360000,36000,a0CRB0000CcXZ6b2QG,Rendery セキュリティオプション(SSO)_運用費用,,,要確認,0.65,No ProductMaster candidate found.
a0ERB00000PIdKl2AL,MFILW-000567,a0FRB00000YqLuW2AV,MFIW-000431,63150560,2026-07-20,株式会社デザインアーク,Rendery_Enterpriseプラン,15,11000,165000,16500,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,要確認,1,Exact ProductMaster.Name match.
