Id,Name,Invoice__c,ProductMaster__c,Description__c,Quantity__c,Unit_Price__c
a01RB00001Vdyf5YAB,INVL-0000000028,a00RB000024Ux4MYAS,a0CRB0000CcXZ6R2QW,Rendery_Pro_月額利用料_注文番号：405016880,2,6400
a01RB00001Vdyf6YAB,INVL-0000000029,a00RB000024Ux4NYAS,a0CRB0000CcXZ6Q2QW,Rendery(Pro用)・月額料金,6,8000
a01RB00001Vdyf7YAB,INVL-0000000030,a00RB000024Ux4OYAS,a0CRB0000CcXZ6x2QG,VISIOALパース,1,120000
a01RB00001Vdyf8YAB,INVL-0000000031,a00RB000024Ux4PYAS,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_月額,12,11000
a01RB00001Vdyf9YAB,INVL-0000000032,a00RB000024Ux4QYAS,a0CRB0000CcXZ6T2QW,Rendery　エンタープライズプラン,19,11000
a01RB00001VdyfAYAR,INVL-0000000033,a00RB000024Ux4RYAS,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_月額,10,11000
a01RB00001VdyfBYAR,INVL-0000000034,a00RB000024Ux4SYAS,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdyfCYAR,INVL-0000000035,a00RB000024Ux4TYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,5,8000
a01RB00001VdyfDYAR,INVL-0000000036,a00RB000024Ux4UYAS,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_3月ご利用分,10,11000
a01RB00001VdyfEYAR,INVL-0000000037,a00RB000024Ux4UYAS,a0CRB0000CcXZ6b2QG,セキュリティオプション_シングルサインオン_3月ご利用分,1,30000
a01RB00001VdyfFYAR,INVL-0000000038,a00RB000024Ux4VYAS,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン10アカウント_月額,10,15000
a01RB00001VdyfGYAR,INVL-0000000039,a00RB000024Ux4VYAS,a0CRB0000CcXZ6h2QG,セキュリティオプション+_運用費用_月額,1,100000
a01RB00001VdyfHYAR,INVL-0000000040,a00RB000024Ux4WYAS,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_1アカウント(月額費用),1,8000
a01RB00001VdyfIYAR,INVL-0000000041,a00RB000024Ux4XYAS,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン,1,55000
a01RB00001VdyfJYAR,INVL-0000000042,a00RB000024Ux4YYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_3アカウント_月額費用,3,8000
a01RB00001VdyfKYAR,INVL-0000000043,a00RB000024Ux4ZYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額費用,1,8000
a01RB00001VdyfLYAR,INVL-0000000044,a00RB000024Ux4aYAC,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン(月額),1,55000
a01RB00001VdyfMYAR,INVL-0000000045,a00RB000024Ux4bYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdyfNYAR,INVL-0000000046,a00RB000024Ux4cYAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,2,8000
a01RB00001VdyfOYAR,INVL-0000000047,a00RB000024Ux4dYAC,a0CRB0000CcXZ6x2QG,knock knock AI_Enterpriseプラン_1100クレジット,1100,145
a01RB00001VdyfPYAR,INVL-0000000048,a00RB000024Ux4eYAC,a0CRB0000CcXZ6k2QG,VISIOAL＿ベーシックプラン,3,85000
a01RB00001VdyfQYAR,INVL-0000000049,a00RB000024Ux4eYAC,a0CRB0000CcXZ6b2QG,既存写真との整合（敷地）,1,30000
a01RB00001VdyfRYAR,INVL-0000000050,a00RB000024Ux4eYAC,a0CRB0000CcXZ6d2QG,詳細整合（インテリア）,2,25000
a01RB00001VdyfSYAR,INVL-0000000051,a00RB000024Ux4eYAC,a0CRB0000CcXZ6b2QG,確認タイミング追加,1,30000
a01RB00001VdyfTYAR,INVL-0000000052,a00RB000024Ux4eYAC,a0CRB0000CcXZ6b2QG,追加修正,3,30000
a01RB00001VdyfUYAR,INVL-0000000053,a00RB000024Ux4fYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdyfVYAR,INVL-0000000054,a00RB000024Ux4gYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdyfWYAR,INVL-0000000055,a00RB000024Ux4hYAC,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン,1,11000
a01RB00001VdyfXYAR,INVL-0000000056,a00RB000024Ux4iYAC,a0CRB0000CcXZ6i2QG,KnockKnockAI_Basicプラン(月額),1,11000
a01RB00001VdyfYYAR,INVL-0000000057,a00RB000024Ux4jYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdyfZYAR,INVL-0000000058,a00RB000024Ux4kYAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,1,8000
a01RB00001VdyfaYAB,INVL-0000000059,a00RB000024Ux4lYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン＿2025年12月ご利用分,1,11000
a01RB00001VdyfbYAB,INVL-0000000060,a00RB000024Ux4lYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン＿2026年1月ご利用分,1,11000
a01RB00001VdyfcYAB,INVL-0000000061,a00RB000024Ux4lYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン＿2026年2月ご利用分,1,11000
a01RB00001VdyfdYAB,INVL-0000000062,a00RB000024Ux4lYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン＿2026年3月ご利用分,1,11000
a01RB00001VdyfeYAB,INVL-0000000063,a00RB000024Ux4mYAC,a0CRB0000CcXZ6x2QG,ワークショップ実施・技術助言書の提供(事前共有),1,250000
a01RB00001VdyffYAB,INVL-0000000064,a00RB000024Ux4nYAC,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン_月額,5,15000
a01RB00001VdyfgYAB,INVL-0000000065,a00RB000024Ux4oYAC,a0CRB0000CcXZ6x2QG,VISIOAL_ベーシックプラン,1,70000
a01RB00001VdyfhYAB,INVL-0000000066,a00RB000024Ux4oYAC,a0CRB0000CcXZ6d2QG,詳細整合（インテリア）,1,25000
a01RB00001VdyfiYAB,INVL-0000000067,a00RB000024Ux4oYAC,a0CRB0000CcXZ6x2QG,既存写真との整合（インテリア）,1,20000
a01RB00001VdyfjYAB,INVL-0000000068,a00RB000024Ux4oYAC,a0CRB0000CcXZ6d2QG,図面整合用モデリング,1,25000
a01RB00001VdyfkYAB,INVL-0000000069,a00RB000024Ux4oYAC,a0CRB0000CcXZ6x2QG,デモ確認,1,20000
a01RB00001VdyflYAB,INVL-0000000070,a00RB000024Ux4pYAC,a0CRB0000CcXZ6x2QG,AI北斎_ビジュアル作成費用,3,140000
a01RB00001VdyfmYAB,INVL-0000000071,a00RB000024Ux4pYAC,a0CRB0000CcXZ6e2QG,額装,3,50000
a01RB00001VdyfnYAB,INVL-0000000072,a00RB000024Ux4pYAC,a0CRB0000CcXZ6x2QG,北斎ディレクション費用,1,450000
a01RB00001VdyfoYAB,INVL-0000000073,a00RB000024Ux4pYAC,a0CRB0000CcXZ6x2QG,事務局運営費用,1,850000
a01RB00001VdyfpYAB,INVL-0000000074,a00RB000024Ux4qYAC,a0CRB0000CcXZ6x2QG,AI北斎_ビジュアル作成費用,3,140000
a01RB00001VdyfqYAB,INVL-0000000075,a00RB000024Ux4qYAC,a0CRB0000CcXZ6e2QG,額装,3,50000
a01RB00001VdyfrYAB,INVL-0000000076,a00RB000024Ux4qYAC,a0CRB0000CcXZ6x2QG,北斎ディレクション費用,1,450000
a01RB00001VdyfsYAB,INVL-0000000077,a00RB000024Ux4qYAC,a0CRB0000CcXZ6x2QG,事務局運営費用,1,850000
a01RB00001VdyftYAB,INVL-0000000078,a00RB000024Ux4rYAC,a0CRB0000CcXZ6x2QG,AI北斎_ビジュアル作成費用,3,140000
a01RB00001VdyfuYAB,INVL-0000000079,a00RB000024Ux4rYAC,a0CRB0000CcXZ6e2QG,額装,3,50000
a01RB00001VdyfvYAB,INVL-0000000080,a00RB000024Ux4rYAC,a0CRB0000CcXZ6x2QG,北斎ディレクション費用,1,450000
a01RB00001VdyfwYAB,INVL-0000000081,a00RB000024Ux4rYAC,a0CRB0000CcXZ6x2QG,事務局運営費用,1,850000
a01RB00001VdyfxYAB,INVL-0000000082,a00RB000024Ux4sYAC,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_月額,12,11000
a01RB00001VdyfyYAB,INVL-0000000083,a00RB000024Ux4tYAC,a0CRB0000CcXZ6T2QW,Rendery　エンタープライズプラン,19,11000
a01RB00001VdyfzYAB,INVL-0000000084,a00RB000024Ux4uYAC,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_月額,12,11000
a01RB00001Vdyg0YAB,INVL-0000000085,a00RB000024Ux4vYAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001Vdyg1YAB,INVL-0000000086,a00RB000024Ux4wYAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,5,8000
a01RB00001Vdyg2YAB,INVL-0000000087,a00RB000024Ux4xYAC,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン10アカウント_月額,10,15000
a01RB00001Vdyg3YAB,INVL-0000000088,a00RB000024Ux4xYAC,a0CRB0000CcXZ6h2QG,セキュリティオプション+_運用費用_月額,1,100000
a01RB00001Vdyg4YAB,INVL-0000000089,a00RB000024Ux4yYAC,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_1アカウント(月額費用),1,8000
a01RB00001Vdyg5YAB,INVL-0000000090,a00RB000024Ux4zYAC,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン,1,55000
a01RB00001Vdyg6YAB,INVL-0000000091,a00RB000024Ux50YAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_3アカウント_月額費用,3,8000
a01RB00001Vdyg7YAB,INVL-0000000092,a00RB000024Ux51YAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額費用,1,8000
a01RB00001Vdyg8YAB,INVL-0000000093,a00RB000024Ux52YAC,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン(月額),1,55000
a01RB00001Vdyg9YAB,INVL-0000000094,a00RB000024Ux53YAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdygAYAR,INVL-0000000095,a00RB000024Ux54YAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,2,8000
a01RB00001VdygBYAR,INVL-0000000096,a00RB000024Ux55YAC,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン5アカウント_月額,5,15000
a01RB00001VdygCYAR,INVL-0000000097,a00RB000024Ux56YAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdygDYAR,INVL-0000000098,a00RB000024Ux57YAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VdygEYAR,INVL-0000000099,a00RB000024Ux58YAC,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン,1,11000
a01RB00001VdygFYAR,INVL-0000000100,a00RB000024Ux59YAC,a0CRB0000CcXZ6i2QG,KnockKnockAI_Basicプラン(月額),1,11000
a01RB00001VdygGYAR,INVL-0000000101,a00RB000024Ux5AYAS,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VeDdhYAF,INVL-0000000102,a00RB000024Ux5BYAS,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン,1,11000
a01RB00001VeDdiYAF,INVL-0000000103,a00RB000024Ux5CYAS,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン,1,11000
a01RB00001VeDdjYAF,INVL-0000000104,a00RB000024Ux5DYAS,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン_10アカウント_月額,10,15000
a01RB00001VeDdkYAF,INVL-0000000105,a00RB000024Ux5DYAS,a0CRB0000CcXZ6h2QG,セキュリティオプション+_月額,1,100000
a01RB00001VeDdlYAF,INVL-0000000106,a00RB000024Ux5DYAS,a0CRB0000CcXZ6g2QG,セキュリティオプション+_初期コスト,1,350000
a01RB00001VeDdmYAF,INVL-0000000107,a00RB000024Ux5EYAS,a0CRB0000CcXZ6h2QG,セキュリティオプション+_運用費用(12ヶ月分),1,100000
a01RB00001VeDdnYAF,INVL-0000000108,a00RB000024Ux5EYAS,a0CRB0000CcXZ6Z2QW,Rendery Enterpriseプラン_年払い,3,168000
a01RB00001VeDdoYAF,INVL-0000000109,a00RB000024Ux5FYAS,a0CRB0000CcXZ6h2QG,セキュリティオプション+_運用費用(12ヶ月分),1,100000
a01RB00001VeDdpYAF,INVL-0000000110,a00RB000024Ux5FYAS,a0CRB0000CcXZ6Z2QW,Rendery Enterpriseプラン_年払い,7,168000
a01RB00001VeDdqYAF,INVL-0000000111,a00RB000024Ux5GYAS,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン_10アカウント_月額,10,15000
a01RB00001VeDdrYAF,INVL-0000000112,a00RB000024Ux5GYAS,a0CRB0000CcXZ6a2QG,Rendery(Enterprise用)・セキュリティオプション(シングルサインオン)・初期コスト,1,100000
a01RB00001VeDdsYAF,INVL-0000000113,a00RB000024Ux5GYAS,a0CRB0000CcXZ6b2QG,セキュリティオプション（シングルサインオン）_月額,1,30000
a01RB00001VeDdtYAF,INVL-0000000114,a00RB000024Ux5HYAS,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_1アカウント(月額費用),1,8000
a01RB00001VeDduYAF,INVL-0000000115,a00RB000024Ux5IYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,1,8000
a01RB00001VeDdvYAF,INVL-0000000116,a00RB000024Ux5JYAS,a0CRB0000CcXZ6x2QG,,1,
a01RB00001VeDdwYAF,INVL-0000000117,a00RB000024Ux5KYAS,a0CRB0000CcXZ6V2QW,Rendery_Enterpriseプラン,15,15000
a01RB00001VeDdxYAF,INVL-0000000118,a00RB000024Ux5LYAS,a0CRB0000CcXZ6Q2QW,Rendery（月額）,8,8000
a01RB00001VeDdyYAF,INVL-0000000119,a00RB000024Ux5MYAS,a0CRB0000CcXZ6T2QW,Rendery　エンタープライズプラン,44,11000
a01RB00001VeDdzYAF,INVL-0000000120,a00RB000024Ux5NYAS,a0CRB0000CcXZ6T2QW,Rendery＿Enterpriseプラン_月額,7,11000
a01RB00001VeDe0YAF,INVL-0000000121,a00RB000024Ux5OYAS,a0CRB0000CcXZ6T2QW,Rendery　エンタープライズプラン,19,11000
a01RB00001VeDe1YAF,INVL-0000000122,a00RB000024Ux5PYAS,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_月額,12,11000
a01RB00001VeDe2YAF,INVL-0000000123,a00RB000024Ux5QYAS,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VeDe3YAF,INVL-0000000124,a00RB000024Ux5RYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,5,8000
a01RB00001VeDe4YAF,INVL-0000000125,a00RB000024Ux5SYAS,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン10アカウント_月額,10,15000
a01RB00001VeDe5YAF,INVL-0000000126,a00RB000024Ux5SYAS,a0CRB0000CcXZ6h2QG,セキュリティオプション+_運用費用_月額,1,100000
a01RB00001VeDe6YAF,INVL-0000000127,a00RB000024Ux5TYAS,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_1アカウント(月額費用),1,8000
a01RB00001VeDe7YAF,INVL-0000000128,a00RB000024Ux5UYAS,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン,1,55000
a01RB00001VeDe8YAF,INVL-0000000129,a00RB000024Ux5VYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_3アカウント_月額費用,3,8000
a01RB00001VeDe9YAF,INVL-0000000130,a00RB000024Ux5WYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額費用,1,8000
a01RB00001VeDeAYAV,INVL-0000000131,a00RB000024Ux5XYAS,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン(月額),1,55000
a01RB00001VeDeBYAV,INVL-0000000132,a00RB000024Ux5YYAS,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VeDeCYAV,INVL-0000000133,a00RB000024Ux5ZYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,2,8000
a01RB00001VeDeDYAV,INVL-0000000134,a00RB000024Ux5aYAC,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン5アカウント_月額,5,15000
a01RB00001VeDeEYAV,INVL-0000000135,a00RB000024Ux5bYAC,a0CRB0000CcXZ6Q2QW,Rendery Proプラン2アカウント_月額費用(月払い),2,8000
a01RB00001VeDeFYAV,INVL-0000000136,a00RB000024Ux5cYAC,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_3アカウント(月額費用),3,8000
a01RB00001VeDeGYAV,INVL-0000000137,a00RB000024Ux5dYAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,1,8000
a01RB00001VeDeHYAV,INVL-0000000138,a00RB000024Ux5eYAC,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン_5アカウント_月払い,5,15000
a01RB00001VeDeIYAV,INVL-0000000139,a00RB000024Ux5fYAC,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン_5アカウント_月払い,5,15000
a01RB00001VeDeJYAV,INVL-0000000140,a00RB000024Ux5gYAC,a0CRB0000CcXZ6Q2QW,Rendery Proプラン2アカウント_月額費用(月払い),2,8000
a01RB00001VeDeKYAV,INVL-0000000141,a00RB000024Ux5hYAC,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_1アカウント(月額費用),1,8000
a01RB00001VeDeLYAV,INVL-0000000142,a00RB000024Ux5iYAC,a0CRB0000CcXZ6x2QG,一次審査資料作成業務,1,750000
a01RB00001VeDeMYAV,INVL-0000000143,a00RB000024Ux5jYAC,a0CRB0000CcXZ6U2QW,モニター等の機器設置作業,1,10000
a01RB00001VeDeNYAV,INVL-0000000144,a00RB000024Ux5jYAC,a0CRB0000CcXZ6V2QW,設置作業、動作確認,1,15000
a01RB00001VeDeOYAV,INVL-0000000145,a00RB000024Ux5jYAC,a0CRB0000CcXZ6U2QW,モニター等の機器撤去作業,1,10000
a01RB00001VeDePYAV,INVL-0000000146,a00RB000024Ux5jYAC,a0CRB0000CcXZ6b2QG,バックエンド：テスト用PCセットアップ,1,30000
a01RB00001VeDeQYAV,INVL-0000000147,a00RB000024Ux5jYAC,a0CRB0000CcXZ6U2QW,バックエンド：小型モニターにiPad画面を表示,1,10000
a01RB00001VeDeRYAV,INVL-0000000148,a00RB000024Ux5jYAC,a0CRB0000CcXZ6b2QG,フロントエンド：テスト用PCセットアップ,1,30000
a01RB00001VeDeSYAV,INVL-0000000149,a00RB000024Ux5jYAC,a0CRB0000CcXZ6U2QW,フロントエンド：花挙動変更,1,10000
a01RB00001VeDeTYAV,INVL-0000000150,a00RB000024Ux5jYAC,a0CRB0000CcXZ6x2QG,フロントエンド：小型モニターにiPad画面を表示,1,20000
a01RB00001VeDeUYAV,INVL-0000000151,a00RB000024Ux5jYAC,a0CRB0000CcXZ6x2QG,当日待機費用,3,5000
a01RB00001VeDeVYAV,INVL-0000000152,a00RB000024Ux5kYAC,a0CRB0000CcXZ6Z2QW,Rendery Enterpriseプラン5アカウント_年間払い,5,168000
a01RB00001VeDeWYAV,INVL-0000000153,a00RB000024Vf1xYAC,a0CRB0000CcXZ6x2QG,画像生成AIサービス 運用費(PoC料金),2,70000
a01RB00001VeDeXYAV,INVL-0000000154,a00RB000024Vf1yYAC,a0CRB0000CcXZ6V2QW,[月額費用]Rendery Enterpriseプラン_11アカウント,13,15000
a01RB00001VeDeYYAV,INVL-0000000155,a00RB000024Vf1yYAC,a0CRB0000CcXZ6h2QG,[月額費用]セキュリティオプション+_運用費用,1,100000
a01RB00001VeDeZYAV,INVL-0000000156,a00RB000024Vf1zYAC,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_1アカウント(年間費用),12,8000
a01RB00001VeDeaYAF,INVL-0000000157,a00RB000024Vf20YAC,a0CRB0000CcXZ6x2QG,事業開発検討,1,4000000
a01RB00001VeDebYAF,INVL-0000000158,a00RB000024Vf20YAC,a0CRB0000CcXZ6x2QG,3Dモデル自動生成システム開発PoC,1,2000000
a01RB00001VeDecYAF,INVL-0000000159,a00RB000024Vf21YAC,a0CRB0000CcXZ6x2QG,保守・運用費,9,70000
a01RB00001VeDedYAF,INVL-0000000160,a00RB000024Vf22YAC,a0CRB0000CcXZ6V2QW,Rendery_Enterpriseプラン,18,15000
a01RB00001VeDeeYAF,INVL-0000000161,a00RB000024Vf23YAC,a0CRB0000CcXZ6U2QW,テスト見積明細,3,10000
a01RB00001VeDefYAF,INVL-0000000162,a00RB000024Vf24YAC,a0CRB0000CcXZ6Q2QW,Rendery(Pro用)・月額料金,6,8000
a01RB00001VeDegYAF,INVL-0000000163,a00RB000024Vf25YAC,a0CRB0000CcXZ6x2QG,パースディレクション,1,495000
a01RB00001VeDehYAF,INVL-0000000164,a00RB000024Vf26YAC,a0CRB0000CcXZ6T2QW,Rendery　エンタープライズプラン,19,11000
a01RB00001VeDeiYAF,INVL-0000000165,a00RB000024Vf27YAC,a0CRB0000CcXZ6T2QW,Rendery Enterpriseプラン_月額,12,11000
a01RB00001VeDejYAF,INVL-0000000166,a00RB000024Vf28YAC,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VeDekYAF,INVL-0000000167,a00RB000024Vf29YAC,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,6,8000
a01RB00001VeDelYAF,INVL-0000000168,a00RB000024Vf2AYAS,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン10アカウント_月額,10,15000
a01RB00001VeDemYAF,INVL-0000000169,a00RB000024Vf2AYAS,a0CRB0000CcXZ6h2QG,セキュリティオプション+_運用費用_月額,1,100000
a01RB00001VeDenYAF,INVL-0000000170,a00RB000024Vf2BYAS,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_２アカウント(月額費用),2,8000
a01RB00001VeDeoYAF,INVL-0000000171,a00RB000024Vf2CYAS,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン,1,55000
a01RB00001VeDepYAF,INVL-0000000172,a00RB000024Vf2DYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_3アカウント_月額費用,3,8000
a01RB00001VeDeqYAF,INVL-0000000173,a00RB000024Vf2EYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額費用,1,8000
a01RB00001VeDerYAF,INVL-0000000174,a00RB000024Vf2FYAS,a0CRB0000CcXZ6j2QG,KnockKnockAI_Proプラン(月額),1,55000
a01RB00001VeDesYAF,INVL-0000000175,a00RB000024Vf2GYAS,a0CRB0000CcXZ6i2QG,knock knock AI_Basicプラン(月額),1,11000
a01RB00001VeDetYAF,INVL-0000000176,a00RB000024Vf2HYAS,a0CRB0000CcXZ6Q2QW,Rendery_Pro_月額利用料,2,8000
a01RB00001VeDeuYAF,INVL-0000000177,a00RB000024Vf2IYAS,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン5アカウント_月額,5,15000
a01RB00001VeDevYAF,INVL-0000000178,a00RB000024Vf2JYAS,a0CRB0000CcXZ6Q2QW,Rendery Proプラン2アカウント_月額費用(月払い),2,8000
a01RB00001VeDewYAF,INVL-0000000179,a00RB000024Vf2KYAS,a0CRB0000CcXZ6Q2QW,Rendery_Proプラン_3アカウント(月額費用),3,8000
