"ContractId","ContractName","UpdateType","TemplateId","TemplateMonth","ProductMaster__c","ProductName","RevenueAmount__c","Total__c","MRR_Target__c","ARR_Target__c","QuotationLine__c"
"a04RB00000n5Je0YAE","株式会社シアーズホーム knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","a03RB00001UyZWDYA3","2026/03","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","11000","11000","true","true",
"a04RB00000n5Je1YAE","株式会社ジョイフル本田 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZWZYA3","2026/05","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","55000","55000","true","true",
"a04RB00000n5Je2YAE","インフィニティ株式会社 Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZWbYAN","2026/05","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5Je3YAE","帝国不動産株式会社 Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZX0YAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","48000","48000","true","true",
"a04RB00000n5Je4YAE","アイリスチトセ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZWQYA3","2026/04","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","77000","77000","true","true",
"a04RB00000n5Je5YAE","株式会社JBリアルエステート knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","a03RB00001UyZWRYA3","2026/04","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","11000","11000","true","true",
"a04RB00000n5Je6YAE","松栄不動産株式会社(アパマンショップ仙台東口店) knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","a03RB00001UyZWSYA3","2026/05","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","11000","11000","true","true",
"a04RB00000n5Je7YAE","三井不動産レジデンシャルリース株式会社(ソリューション推進部) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZWuYAN","2026/07","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","132000","132000","true","true",
"a04RB00000n5Je8YAE","株式会社三越伊勢丹プロパティ・デザイン Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZWvYAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","48000","48000","true","true",
"a04RB00000n5Je9YAE","株式会社錢高組 Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZWwYAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","24000","24000","true","true",
"a04RB00000n5JeAYAU","株式会社ワンズ・レーニア Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZX6YAN","2026/07","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","75000","75000","true","true",
"a04RB00000nCmpRYAS","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","月","a03RB00001VWEogYAH","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","32000","32000","true","true",
"a04RB00000nCmpSYAS","株式会社パインウェル Rendery Proプラン Freee自動請求契約","月","a03RB00001VWEohYAH","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000nCmpTYAS","大東建託株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001VWEonYAH","2025/12","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","132000","132000","true","true",
"a04RB00000nS9IfYAK","株式会社フォーデック Rendery Proプラン Freee自動請求契約","月","a03RB00001WZCQ2YAP","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
