"Risk","Similarity","Work","FreeeInvoiceId","BillingDate","Account","WorkStatus","Invoice","LineWork","LineStatus","Description","Product","Amount","ResolveMessage","Confidence","LineWorkId","CreatedInvoiceLineId"
"高","0","MFIW-000125","58810995","2026-06-19","どさんこ不動産","反映済み","INV-0000000108","MFILW-000206","反映済み","テスト見積明細","[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","30000","Matched by unit price.","0.65","a0ERB00000NrzPt2AJ","a01RB00001VeDeeYAF"
"高","0","MFIW-000151","61633340","2026-06-29","","要確認","","MFILW-000244","取得済み","保守費用","Rendery セキュリティオプション(ドメイン制限)_初期費用","350000","Matched by unit price.","0.65","a0ERB00000Ojmil2AB",""
"高","0.03","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000193","取得済み","フロントエンド：花挙動変更","[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","10000","Matched by unit price.","0.65","a0ERB00000Nryk42AB","a01RB00001VeDeSYAV"
"高","0.034","MFIW-000044","54113194","2026-03-20","戸田建設株式会社","反映済み","INV-0000000033","MFILW-000087","反映済み","確認タイミング追加","Rendery セキュリティオプション(SSO)_運用費用","30000","Matched by unit price.","0.65","a0ERB00000Nrx9s2AB","a01RB00001VdyfSYAR"
"高","0.098","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000191","取得済み","バックエンド：小型モニターにiPad画面を表示","[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","10000","Matched by unit price.","0.65","a0ERB00000Nryk22AB","a01RB00001VeDeQYAV"
"高","0.1","MFIW-000056","54891605","2026-03-27","株式会社 LIXIL住宅研究所","反映済み","INV-0000000043","MFILW-000107","反映済み","図面整合用モデリング","Rendery セキュリティオプション(IP制限)_運用費用","25000","Matched by unit price.","0.65","a0ERB00000NrxJJ2AZ","a01RB00001VdyfjYAB"
"高","0.103","MFIW-000044","54113194","2026-03-20","戸田建設株式会社","反映済み","INV-0000000033","MFILW-000086","反映済み","詳細整合（インテリア）","Rendery セキュリティオプション(IP制限)_運用費用","50000","Matched by unit price.","0.65","a0ERB00000Nrx9r2AB","a01RB00001VdyfRYAR"
"高","0.103","MFIW-000056","54891605","2026-03-27","株式会社 LIXIL住宅研究所","反映済み","INV-0000000043","MFILW-000105","反映済み","詳細整合（インテリア）","Rendery セキュリティオプション(IP制限)_運用費用","25000","Matched by unit price.","0.65","a0ERB00000NrxJH2AZ","a01RB00001VdyfhYAB"
"高","0.161","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000190","取得済み","バックエンド：テスト用PCセットアップ","Rendery セキュリティオプション(SSO)_運用費用","30000","Matched by unit price.","0.65","a0ERB00000Nryk12AB","a01RB00001VeDePYAV"
"高","0.161","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000192","取得済み","フロントエンド：テスト用PCセットアップ","Rendery セキュリティオプション(SSO)_運用費用","30000","Matched by unit price.","0.65","a0ERB00000Nryk32AB","a01RB00001VeDeRYAV"
"中","0.231","MFIW-000027","54361336","2026-03-19","株式会社コスモスイニシア","反映済み","INV-0000000009","MFILW-000065","反映済み","オプション_バリエーション追加","Rendery セキュリティオプション(ドメイン制限)_初期費用","50000","Matched by unit price.","0.65","a0ERB00000Nrwv82AB","a01RB00001VdyeuYAB"
"中","0.269","MFIW-000169","60861155","2026-06-20","","要確認","","MFILW-000265","取得済み","knock knock AI Basicプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWm2AJ",""
"中","0.269","MFIW-000170","60861156","2026-06-20","株式会社香川不動産買取センター","反映済み","INV-0000000154","MFILW-000266","反映済み","knock knock AI Basicプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWn2AJ","a01RB00001ZIQfdYAH"
"中","0.269","MFIW-000171","60861157","2026-06-20","株式会社博進コスモプラザ","反映済み","INV-0000000155","MFILW-000267","反映済み","knock knock AI_Basicプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWo2AJ","a01RB00001ZIQfeYAH"
"中","0.269","MFIW-000166","60861149","2026-06-20","株式会社TAKUTO","反映済み","INV-0000000152","MFILW-000262","反映済み","knock knock AI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWj2AJ","a01RB00001ZIQfbYAH"
"中","0.269","MFIW-000167","60861153","2026-06-20","ONETEAM不動産","反映済み","INV-0000000153","MFILW-000263","反映済み","KnockKnockAI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWk2AJ","a01RB00001ZIQfcYAH"
"中","0.269","MFIW-000158","60861151","2026-06-20","TC神鋼不動産株式会社","要確認","INV-0000000133","MFILW-000253","反映済み","knock knock AI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnOX2AZ","a01RB00001ZIOTpYAP"
"中","0.269","MFIW-000168","60861154","2026-06-20","株式会社ハートランド","要確認","","MFILW-000264","取得済み","knock knock AI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWl2AJ",""
"中","0.269","MFIW-000173","60861159","2026-06-20","","要確認","","MFILW-000269","取得済み","knock knock AI_Basicプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWq2AJ",""
"中","0.269","MFIW-000193","60861185","2026-06-20","株式会社エージェント","反映済み","INV-0000000142","MFILW-000289","反映済み","knock knock AI Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjndH2AR","a01RB00001ZIQfRYAX"
"中","0.269","MFIW-000195","60861187","2026-06-20","株式会社アズスタット","反映済み","INV-0000000144","MFILW-000291","反映済み","knock knock AI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjndJ2AR","a01RB00001ZIQfTYAX"
"中","0.269","MFIW-000194","60861186","2026-06-20","ホームトレードセンター株式会社","反映済み","INV-0000000143","MFILW-000290","反映済み","knock knock AI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjndI2AR","a01RB00001ZIQfSYAX"
"中","0.269","MFIW-000175","60861162","2026-06-20","株式会社穂積住宅","反映済み","INV-0000000156","MFILW-000271","反映済み","knock knock AI_Basicプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","33000","Matched by unit price.","0.65","a0ERB00000OjnWs2AJ","a01RB00001ZIQffYAH"
"中","0.269","MFIW-000176","60861164","2026-06-20","株式会社イーグランド","反映済み","INV-0000000157","MFILW-000272","反映済み","knock knock AI_Basicプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWt2AJ","a01RB00001ZIQfgYAH"
"中","0.269","MFIW-000177","60861166","2026-06-20","株式会社ハウスプラザ","反映済み","INV-0000000158","MFILW-000273","反映済み","knock knock AI_Basicプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjnWu2AJ","a01RB00001ZIQfhYAH"
"中","0.276","MFIW-000025","54238142","2026-03-18","株式会社大塚商会","反映済み","INV-0000000015","MFILW-000058","反映済み","Rendery_Pro_月額利用料_注文番号：405016880","[代理販売20%] Rendery Proプラン","12800","Matched by unit price.","0.65","a0ERB00000NrwtT2AR","a01RB00001Vdyf5YAB"
"中","0.286","MFIW-000213","60953208","2026-06-20","株式会社大塚商会","反映済み","INV-0000000165","MFILW-000312","反映済み","Rendery_Pro_1アカウント年間利用料(アーキデザイン株式会社様)","[代理販売20%] Rendery Proプラン","76800","Matched by unit price.","0.65","a0ERB00000OjniA2AR","a01RB00001ZIQfoYAH"
"中","0.296","MFIW-000186","60861177","2026-06-20","47内装株式会社","反映済み","INV-0000000137","MFILW-000282","反映済み","Rendery(エンタープライズプラン)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","55000","Matched by unit price.","0.65","a0ERB00000OjndA2AR","a01RB00001ZIQfMYAX"
"中","0.296","MFIW-000192","60861184","2026-06-20","戸田建設株式会社","反映済み","INV-0000000141","MFILW-000288","反映済み","Rendery　エンタープライズプラン(月額)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","55000","Matched by unit price.","0.65","a0ERB00000OjndG2AR","a01RB00001ZIQfQYAX"
"中","0.296","MFIW-000191","60861183","2026-06-20","東急株式会社","反映済み","INV-0000000140","MFILW-000287","反映済み","Rendery(エンタープライズプラン)","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","Matched by unit price.","0.65","a0ERB00000OjndF2AR","a01RB00001ZIQfPYAX"
"中","0.296","MFIW-000189","60861181","2026-06-20","","要確認","","MFILW-000285","取得済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","44000","Matched by unit price.","0.65","a0ERB00000OjndD2AR",""
"中","0.296","MFIW-000201","60900081","2026-06-20","株式会社フロンティアコンサルティング","反映済み","INV-0000000161","MFILW-000297","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","550000","Matched by unit price.","0.65","a0ERB00000Ojnhv2AB","a01RB00001ZIQfkYAH"
"中","0.31","MFIW-000044","54113194","2026-03-20","戸田建設株式会社","反映済み","INV-0000000033","MFILW-000084","反映済み","VISIOAL＿ベーシックプラン","[月払] knock knock AI Enterpriseプラン 500クレジット","255000","Matched by unit price.","0.65","a0ERB00000Nrx9p2AB","a01RB00001VdyfPYAR"
"中","0.321","MFIW-000202","60901483","2026-06-20","株式会社大塚商会","反映済み","INV-0000000162","MFILW-000298","反映済み","Rendery_Pro_月額利用料_注文番号：405342480","[代理販売20%] Rendery Proプラン","12800","Matched by unit price.","0.65","a0ERB00000Ojnhw2AB","a01RB00001ZIQflYAH"
"参考","0","MFIW-000020","53082772","2026-03-02","さいたま家づくりネットワーク事務局","反映済み","INV-0000000010","MFILW-000049","反映済み","交通費（片道）","受託開発","1940","Confirmed by migration rule: 受託開発","","a0ERB00000NrwqE2AR","a01RB00001VdyewYAB"
"参考","0","MFIW-000021","53100155","2026-03-02","三菱商事 株式会社","要確認","INV-0000000011","MFILW-000050","取得済み","最終納品費","受託開発","1670000","Confirmed by migration rule: 受託開発","","a0ERB00000NrwqF2AR","a01RB00001VdyexYAB"
"参考","0","MFIW-000022","53825605","2026-03-13","株式会社スタッコ","要確認","INV-0000000012","MFILW-000052","反映済み","【基本設計】UI設計・構成設計","受託開発","2600000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwrq2AB","a01RB00001VdyezYAB"
"参考","0","MFIW-000022","53825605","2026-03-13","株式会社スタッコ","要確認","INV-0000000012","MFILW-000055","取得済み","【テスト・導入】 動作検証、導入支援","受託開発","1300000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwrt2AB","a01RB00001Vdyf2YAB"
"参考","0","MFIW-000022","53825605","2026-03-13","株式会社スタッコ","要確認","INV-0000000012","MFILW-000053","取得済み","【詳細設計】 モジュール間IF仕様設計","受託開発","1300000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwrr2AB","a01RB00001Vdyf0YAB"
"参考","0","MFIW-000022","53825605","2026-03-13","株式会社スタッコ","要確認","INV-0000000012","MFILW-000051","取得済み","【要件定義】 ヒアリング・仕様整理","受託開発","1300000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwrp2AB","a01RB00001VdyeyYAB"
"参考","0","MFIW-000027","54361336","2026-03-19","株式会社コスモスイニシア","反映済み","INV-0000000009","MFILW-000061","反映済み","既存写真との整合(敷地)","受託開発","100000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwv42AB","a01RB00001VdyeqYAB"
"参考","0","MFIW-000027","54361336","2026-03-19","株式会社コスモスイニシア","反映済み","INV-0000000009","MFILW-000062","反映済み","詳細デザインの提案・調整","受託開発","120000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwv52AB","a01RB00001VdyerYAB"
"参考","0","MFIW-000027","54361336","2026-03-19","株式会社コスモスイニシア","反映済み","INV-0000000009","MFILW-000060","反映済み","VISIOAL_ベーシックプラン","受託開発","450000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwv32AB","a01RB00001VdyepYAB"
"参考","0","MFIW-000027","54361336","2026-03-19","株式会社コスモスイニシア","反映済み","INV-0000000009","MFILW-000064","反映済み","アートディレクション","受託開発","100000","Confirmed by migration rule: 受託開発","0.65","a0ERB00000Nrwv72AB","a01RB00001VdyetYAB"
"参考","0","MFIW-000027","54361336","2026-03-19","株式会社コスモスイニシア","反映済み","INV-0000000009","MFILW-000063","反映済み","簡易図面からのボリューム作成","受託開発","65000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwv62AB","a01RB00001VdyesYAB"
"参考","0","MFIW-000043","54108710","2026-03-20","リアルティホールディングス株式会社","反映済み","INV-0000000032","MFILW-000083","反映済み","knock knock AI_Enterpriseプラン_1100クレジット","受託開発","159500","Confirmed by migration rule: 受託開発","","a0ERB00000Nrx9o2AB","a01RB00001VdyfOYAR"
"参考","0","MFIW-000050","54529958","2026-03-23","株式会社サンケイビル","反映済み","INV-0000000004","MFILW-000095","反映済み","年払い割引","受託開発","-60000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxBC2AZ","a01RB00001VdyeiYAB"
"参考","0","MFIW-000053","54630843","2026-03-24","株式会社LIXIL","反映済み","INV-0000000041","MFILW-000101","反映済み","ワークショップ実施・技術助言書の提供(事前共有)","受託開発","250000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxG62AJ","a01RB00001VdyfeYAB"
"参考","0","MFIW-000056","54891605","2026-03-27","株式会社 LIXIL住宅研究所","反映済み","INV-0000000043","MFILW-000106","反映済み","既存写真との整合（インテリア）","受託開発","20000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxJI2AZ","a01RB00001VdyfiYAB"
"参考","0","MFIW-000056","54891605","2026-03-27","株式会社 LIXIL住宅研究所","反映済み","INV-0000000043","MFILW-000108","反映済み","デモ確認","受託開発","20000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxJK2AZ","a01RB00001VdyfkYAB"
"参考","0","MFIW-000056","54891605","2026-03-27","株式会社 LIXIL住宅研究所","反映済み","INV-0000000043","MFILW-000104","反映済み","VISIOAL_ベーシックプラン","受託開発","70000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxJG2AZ","a01RB00001VdyfgYAB"
"参考","0","MFIW-000058","55195797","2026-03-31","神奈川県知事　黒岩　祐治","要確認","INV-0000000045","MFILW-000115","取得済み","北斎ディレクション費用","受託開発","450000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMZ2AZ","a01RB00001VdyfrYAB"
"参考","0","MFIW-000059","55196219","2026-03-31","神奈川県知事　黒岩　祐治","要確認","","MFILW-000119","要確認","北斎ディレクション費用","受託開発","450000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMd2AJ",""
"参考","0","MFIW-000059","55196219","2026-03-31","神奈川県知事　黒岩　祐治","要確認","","MFILW-000117","要確認","AI北斎_ビジュアル作成費用","受託開発","420000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMb2AJ",""
"参考","0","MFIW-000058","55195797","2026-03-31","神奈川県知事　黒岩　祐治","要確認","INV-0000000045","MFILW-000116","取得済み","事務局運営費用","受託開発","850000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMa2AJ","a01RB00001VdyfsYAB"
"参考","0","MFIW-000059","55196219","2026-03-31","神奈川県知事　黒岩　祐治","要確認","","MFILW-000120","要確認","事務局運営費用","受託開発","850000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMe2AJ",""
"参考","0","MFIW-000057","55195079","2026-03-31","神奈川県知事　黒岩　祐治","反映済み","INV-0000000167","MFILW-000109","反映済み","AI北斎_ビジュアル作成費用","受託開発","420000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMT2AZ","a01RB00001ZLxreYAD"
"参考","0","MFIW-000057","55195079","2026-03-31","神奈川県知事　黒岩　祐治","反映済み","INV-0000000167","MFILW-000111","反映済み","北斎ディレクション費用","受託開発","450000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMV2AZ","a01RB00001ZLxrgYAD"
"参考","0","MFIW-000058","55195797","2026-03-31","神奈川県知事　黒岩　祐治","要確認","INV-0000000045","MFILW-000113","取得済み","AI北斎_ビジュアル作成費用","受託開発","420000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMX2AZ","a01RB00001VdyfpYAB"
"参考","0","MFIW-000057","55195079","2026-03-31","神奈川県知事　黒岩　祐治","反映済み","INV-0000000167","MFILW-000112","反映済み","事務局運営費用","受託開発","850000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxMW2AZ","a01RB00001ZLxrhYAD"
"参考","0","MFIW-000028","56091285","2026-04-09","合同会社髙木秀太事務所 NOI STUDIO","反映済み","INV-0000000017","MFILW-000066","反映済み","VISIOALパース","受託開発","120000","Confirmed by migration rule: 受託開発","","a0ERB00000NrwyH2AR","a01RB00001Vdyf7YAB"
"参考","0","MFIW-000087","58268807","2026-05-12","トヨタコニックプロ株式会社","要確認","INV-0000000074","MFILW-000155","取得済み","","受託開発","","Confirmed by migration rule: 受託開発","","a0ERB00000NrySD2AZ","a01RB00001VeDdvYAF"
"参考","0","MFIW-000090","58486360","2026-05-15","株式会社 LIXIL住宅研究所","要確認","INV-0000000006","MFILW-000158","反映済み","保守・運用費","受託開発","1200000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrybu2AB","a01RB00001VdyekYAB"
"参考","0","MFIW-000089","58486126","2026-05-15","株式会社 LIXIL住宅研究所","反映済み","INV-0000000005","MFILW-000157","反映済み","Web保守・運用費","受託開発","216000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrybt2AB","a01RB00001VdyejYAB"
"参考","0","MFIW-000090","58486360","2026-05-15","株式会社 LIXIL住宅研究所","要確認","INV-0000000006","MFILW-000159","取得済み","運用サポート費","受託開発","840000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrybv2AB","a01RB00001VdyelYAB"
"参考","0","MFIW-000090","58486360","2026-05-15","株式会社 LIXIL住宅研究所","要確認","INV-0000000006","MFILW-000160","取得済み","Renderyライセンス費","受託開発","840000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrybw2AB","a01RB00001VdyemYAB"
"参考","0","MFIW-000115","58937326","2026-05-22","株式会社コスモスイニシア","反映済み","INV-0000000099","MFILW-000186","反映済み","一次審査資料作成業務","受託開発","750000","Confirmed by migration rule: 受託開発","","a0ERB00000Nryjx2AB","a01RB00001VeDeLYAV"
"参考","0","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000194","反映済み","フロントエンド：小型モニターにiPad画面を表示","受託開発","20000","Confirmed by migration rule: 受託開発","","a0ERB00000Nryk52AB","a01RB00001VeDeTYAV"
"参考","0","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000195","反映済み","当日待機費用","受託開発","15000","Confirmed by migration rule: 受託開発","0.65","a0ERB00000Nryk62AB","a01RB00001VeDeUYAV"
"参考","0","MFIW-000118","59062064","2026-05-25","株式会社 LIXIL住宅研究所","反映済み","INV-0000000102","MFILW-000197","反映済み","画像生成AIサービス 運用費(PoC料金)","受託開発","140000","Confirmed by migration rule: 受託開発","","a0ERB00000NrynB2AR","a01RB00001VeDeWYAV"
"参考","0","MFIW-000122","60417633","2026-06-09","近鉄不動産株式会社","反映済み","INV-0000000008","MFILW-000203","反映済み","Renderyを活用した伴走支援","受託開発","160000","Confirmed by migration rule: 受託開発","","a0ERB00000NrzEb2AJ","a01RB00001VdyeoYAB"
"参考","0","MFIW-000123","60518749","2026-06-10","株式会社 LIXIL住宅研究所","反映済み","INV-0000000106","MFILW-000204","反映済み","保守・運用費","受託開発","630000","Confirmed by migration rule: 受託開発","","a0ERB00000NrzHp2AJ","a01RB00001VeDecYAF"
"参考","0","MFIW-000128","60984868","2026-06-19","コクヨ 株式会社","反映済み","INV-0000000110","MFILW-000209","反映済み","パースディレクション","受託開発","495000","Confirmed by migration rule: 受託開発","","a0ERB00000NrzPw2AJ","a01RB00001VeDegYAF"
"参考","0.1","MFIW-000054","54695329","2026-03-25","株式会社 LIXIL住宅研究所","反映済み","INV-0000000007","MFILW-000102","反映済み","BUILDER LISTのデザイン作成・開発","受託開発","49000","Confirmed by migration rule: 受託開発","","a0ERB00000NrxHd2AJ","a01RB00001VdyenYAB"
"参考","0.1","MFIW-000121","60414862","2026-05-31","プラス株式会社","反映済み","INV-0000000105","MFILW-000202","反映済み","3Dモデル自動生成システム開発PoC","受託開発","2000000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrywt2AB","a01RB00001VeDebYAF"
"参考","0.1","MFIW-000149","60792928","2026-06-30","プラス株式会社","反映済み","INV-0000000131","MFILW-000232","反映済み","3Dモデル自動生成システム開発PoC","受託開発","2000000","Confirmed by migration rule: 受託開発","","a0ERB00000NrzUk2AJ","a01RB00001VeDf3YAF"
"参考","0.105","MFIW-000022","53825605","2026-03-13","株式会社スタッコ","要確認","INV-0000000012","MFILW-000054","反映済み","【実装】 インフラ構築/フロントエンド/バックエンド開発","受託開発","5200000","Confirmed by migration rule: 受託開発","","a0ERB00000Nrwrs2AB","a01RB00001Vdyf1YAB"
"OK","0.25","MFIW-000121","60414862","2026-05-31","プラス株式会社","反映済み","INV-0000000105","MFILW-000201","反映済み","事業開発検討","受託開発","4000000","Confirmed by migration rule: 受託開発","","a0ERB00000Nryws2AB","a01RB00001VeDeaYAF"
"OK","0.25","MFIW-000149","60792928","2026-06-30","プラス株式会社","反映済み","INV-0000000131","MFILW-000231","反映済み","事業開発検討","受託開発","4000000","Confirmed by migration rule: 受託開発","","a0ERB00000NrzUj2AJ","a01RB00001VeDf2YAF"
"OK","0.296","MFIW-000024","54237761","2026-03-18","株式会社フロンティアコンサルティング","反映済み","INV-0000000014","MFILW-000057","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","462000","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)","0.65","a0ERB00000NrwtS2AR","a01RB00001Vdyf4YAB"
"OK","0.296","MFIW-000030","54067648","2026-03-20","東急不動産株式会社","反映済み","INV-0000000019","MFILW-000068","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","209000","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)","0.65","a0ERB00000Nrx9Z2AR","a01RB00001Vdyf9YAB"
"OK","0.296","MFIW-000061","56461100","2026-04-20","東急不動産株式会社","反映済み","INV-0000000048","MFILW-000122","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","209000","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)","0.65","a0ERB00000NrxeD2AR","a01RB00001VdyfyYAB"
"OK","0.296","MFIW-000092","58689637","2026-05-19","株式会社フロンティアコンサルティング","反映済み","INV-0000000077","MFILW-000162","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","484000","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)","0.65","a0ERB00000NrydW2AR","a01RB00001VeDdyYAF"
"OK","0.296","MFIW-000094","58549424","2026-05-20","東急不動産株式会社","反映済み","INV-0000000079","MFILW-000164","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","209000","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)","0.65","a0ERB00000Nryf72AB","a01RB00001VeDe0YAF"
"OK","0.296","MFIW-000129","60792877","2026-06-20","東急不動産株式会社","反映済み","INV-0000000111","MFILW-000210","反映済み","Rendery　エンタープライズプラン","[OLD] Rendery Enterpriseプラン(2025年9月まで)","209000","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)","0.65","a0ERB00000NrzRV2AZ","a01RB00001VeDehYAF"
