"Id","Status","Description","UnitPrice","CurrentSuggested","Target"
"a0ERB00000NrxeO2AR","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrzRX2AZ","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeF2AR","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9b2AB","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9m2AB","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9u2AB","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9v2AB","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeS2AR","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9y2AB","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeV2AR","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NryfI2AR","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrzRg2AJ","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeR2AR","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9x2AB","候補あり","KnockKnockAI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeU2AR","候補あり","KnockKnockAI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9d2AB","候補あり","Rendery Enterpriseプラン_3月ご利用分","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrxeE2AR","候補あり","Rendery Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000Nryf82AB","候補あり","Rendery Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrzRW2AZ","候補あり","Rendery Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrxZN2AZ","候補あり","Rendery Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrwyI2AR","候補あり","Rendery Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000Nrx9a2AB","候補あり","Rendery Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrxeD2AR","候補あり","Rendery　エンタープライズプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrwtS2AR","候補あり","Rendery　エンタープライズプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000Nrx9Z2AR","候補あり","Rendery　エンタープライズプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrzRV2AZ","候補あり","Rendery　エンタープライズプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000Nryf72AB","候補あり","Rendery　エンタープライズプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrydW2AR","候補あり","Rendery　エンタープライズプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrydX2AR","候補あり","Rendery＿Enterpriseプラン_月額","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrxhZ2AR","候補あり","Rendery(Enterprise用)・セキュリティオプション(シングルサインオン)・初期コスト","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション(SSO)_初期費用"
"a0ERB00000Nrwv72AB","候補あり","アートディレクション","100000","Rendery セキュリティオプション(SSO)_初期費用","受託開発"
"a0ERB00000NryfC2AR","候補あり","セキュリティオプション+_運用費用_月額","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrzRa2AJ","候補あり","セキュリティオプション+_運用費用_月額","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrxeI2AR","候補あり","セキュリティオプション+_運用費用_月額","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション+_運用費用"
"a0ERB00000Nrx9g2AB","候補あり","セキュリティオプション+_運用費用_月額","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrxhS2AR","候補あり","セキュリティオプション+_月額","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション+_運用費用"
"a0ERB00000Nryk62AB","候補あり","当日待機費用","5000","Rendery Basicプラン","受託開発"
"a0ERB00000NrySD2AZ","要確認","","","","受託開発"
"a0ERB00000Nrwrt2AB","要確認","【テスト・導入】 動作検証、導入支援","1300000","","受託開発"
"a0ERB00000Nrwrq2AB","要確認","【基本設計】UI設計・構成設計","1300000","","受託開発"
"a0ERB00000Nrwrs2AB","要確認","【実装】 インフラ構築/フロントエンド/バックエンド開発","1300000","","受託開発"
"a0ERB00000Nrwrr2AB","要確認","【詳細設計】 モジュール間IF仕様設計","1300000","","受託開発"
"a0ERB00000Nrwrp2AB","要確認","【要件定義】 ヒアリング・仕様整理","1300000","","受託開発"
"a0ERB00000Nrywt2AB","要確認","3Dモデル自動生成システム開発PoC","2000000","","受託開発"
"a0ERB00000NrzUk2AJ","要確認","3Dモデル自動生成システム開発PoC","2000000","","受託開発"
"a0ERB00000NrxMT2AZ","要確認","AI北斎_ビジュアル作成費用","140000","","受託開発"
"a0ERB00000NrxMb2AJ","要確認","AI北斎_ビジュアル作成費用","140000","","受託開発"
"a0ERB00000NrxMX2AZ","要確認","AI北斎_ビジュアル作成費用","140000","","受託開発"
"a0ERB00000NrxHd2AJ","要確認","BUILDER LISTのデザイン作成・開発","49000","","受託開発"
"a0ERB00000Nrx9o2AB","要確認","knock knock AI_Enterpriseプラン_1100クレジット","145","","受託開発"
"a0ERB00000NrxBB2AZ","要確認","Rendery Enterpriseプラン_5アカウント_年間費用","180000","","[年払] Rendery Enterpriseプラン"
"a0ERB00000Nrybw2AB","要確認","Renderyライセンス費","840000","","受託開発"
"a0ERB00000NrzEb2AJ","要確認","Renderyを活用した伴走支援","160000","","受託開発"
"a0ERB00000NrxJG2AZ","要確認","VISIOAL_ベーシックプラン","70000","","受託開発"
"a0ERB00000Nrwv32AB","要確認","VISIOAL_ベーシックプラン","75000","","受託開発"
"a0ERB00000NrwyH2AR","要確認","VISIOALパース","120000","","受託開発"
"a0ERB00000Nrybt2AB","要確認","Web保守・運用費","216000","","受託開発"
"a0ERB00000NrxhW2AR","要確認","セキュリティオプション+_運用費用(12ヶ月分)","840000","","Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrxhU2AR","要確認","セキュリティオプション+_運用費用(12ヶ月分)","360000","","Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrxJK2AZ","要確認","デモ確認","20000","","受託開発"
"a0ERB00000NrzPw2AJ","要確認","パースディレクション","495000","","受託開発"
"a0ERB00000Nryk52AB","要確認","フロントエンド：小型モニターにiPad画面を表示","20000","","受託開発"
"a0ERB00000NrxG62AJ","要確認","ワークショップ実施・技術助言書の提供(事前共有)","250000","","受託開発"
"a0ERB00000Nryjx2AB","要確認","一次審査資料作成業務","750000","","受託開発"
"a0ERB00000Nrybv2AB","要確認","運用サポート費","840000","","受託開発"
"a0ERB00000NrynB2AR","要確認","画像生成AIサービス 運用費(PoC料金)","70000","","受託開発"
"a0ERB00000Nrwv62AB","要確認","簡易図面からのボリューム作成","65000","","受託開発"
"a0ERB00000NrxJI2AZ","要確認","既存写真との整合（インテリア）","20000","","受託開発"
"a0ERB00000Nrwv42AB","要確認","既存写真との整合(敷地)","20000","","受託開発"
"a0ERB00000NrwqE2AR","要確認","交通費（片道）","970","","受託開発"
"a0ERB00000NrwqF2AR","要確認","最終納品費","1670000","","受託開発"
"a0ERB00000NrzUj2AJ","要確認","事業開発検討","4000000","","受託開発"
"a0ERB00000Nryws2AB","要確認","事業開発検討","4000000","","受託開発"
"a0ERB00000NrxMa2AJ","要確認","事務局運営費用","850000","","受託開発"
"a0ERB00000NrxMe2AJ","要確認","事務局運営費用","850000","","受託開発"
"a0ERB00000NrxMW2AZ","要確認","事務局運営費用","850000","","受託開発"
"a0ERB00000Nrwv52AB","要確認","詳細デザインの提案・調整","20000","","受託開発"
"a0ERB00000NrxBC2AZ","要確認","年払い割引","-12000","","受託開発"
"a0ERB00000NrzHp2AJ","要確認","保守・運用費","70000","","受託開発"
"a0ERB00000Nrybu2AB","要確認","保守・運用費","1200000","","受託開発"
"a0ERB00000NrxMV2AZ","要確認","北斎ディレクション費用","450000","","受託開発"
"a0ERB00000NrxMd2AJ","要確認","北斎ディレクション費用","450000","","受託開発"
"a0ERB00000NrxMZ2AZ","要確認","北斎ディレクション費用","450000","","受託開発"
