"Id","Name","ContractName__c","Account__c","StartDate__c","EndDate__c","MRR__c","ProductCategory__c","PlanCategory__c"
"a04RB00000n5Je5YAE","CN-00000223","株式会社JBリアルエステート knock knock AI Basicプラン(50クレジット) Freee自動請求契約","001RB00001br9KRYAY","2026-04-01","","11000","knock knock AI","Basic"
"a04RB00000n5Je6YAE","CN-00000224","松栄不動産株式会社(アパマンショップ仙台東口店) knock knock AI Basicプラン(50クレジット) Freee自動請求契約","001RB00001br9KTYAY","2026-05-01","","11000","knock knock AI","Basic"
"a04RB00000n5Je7YAE","CN-00000225","三井不動産レジデンシャルリース株式会社(ソリューション推進部) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","001RB00001br9KbYAI","2026-07-01","","132000","Rendery","Enterprise"
"a04RB00000n5Je8YAE","CN-00000226","株式会社三越伊勢丹プロパティ・デザイン Rendery Proプラン Freee自動請求契約","001RB00001br9KWYAY","2026-07-01","","48000","Rendery","Pro"
"a04RB00000n5Je9YAE","CN-00000227","株式会社錢高組 Rendery Proプラン Freee自動請求契約","001RB00001br9KaYAI","2026-07-01","","24000","Rendery","Pro"
"a04RB00000n5JeAYAU","CN-00000228","株式会社ワンズ・レーニア Rendery Enterpriseプラン Freee自動請求契約","001RB00001VTrrHYAT","2026-07-01","","","Rendery","Enterprise"
"a04RB00000nA94DYAS","CN-00000230","【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）","001RB00001VTqidYAD","2026-06-29","","","",""
"a04RB00000nCmpRYAS","CN-00000233","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","001RB00001VTrRuYAL","2026-07-01","","","",""
"a04RB00000nCmpSYAS","CN-00000234","株式会社パインウェル Rendery Proプラン Freee自動請求契約","001RB00001b3qNeYAI","2026-07-01","","","",""
"a04RB00000nCmpTYAS","CN-00000235","大東建託株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","001RB00001VTruMYAT","2025-09-01","","132000","",""
"a04RB00000nRI1RYAW","CN-00000240","矢作建設_契約変更","001RB00001VTqlfYAD","2026-08-01","","","Rendery","Enterprise"
"a04RB00000nS9IfYAK","CN-00000242","株式会社フォーデック Rendery Proプラン Freee自動請求契約","001RB00001VTrqOYAT","2026-07-01","","","",""
