"AccountId","AccountName","Contract","ContractName","Status","Start","End","MRR","Source","MonthlyRows","Invoices","Periods","判定","判定根拠","統合先契約","請求影響","優先度"
"001RB00001VTqleYAD","株式会社大塚商会","CN-00000063","大塚商会（大和財宅）","Activated","2025-09-01","2026-08-31","88000","","14","9","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqleYAD","株式会社大塚商会","CN-00000245","株式会社ネオデザイン事務所(大塚商会)_2026-08-01","Draft","2026-08-01","2027-07-31","76800","Sales","12","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqleYAD","株式会社大塚商会","CN-00000254","株式会社ローザ様(大塚商会)_2026-09-01","Draft","2026-09-01","2027-08-31","384000","Sales","12","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000038","アイリスオーヤマ（ストアデザイン部）","解約","2025-05-01","2025-05-01","24000","","1","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000039","アイリスオーヤマ（空間デザイン部）","解約","2025-05-01","2025-05-01","8000","","1","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000046","アイリスオーヤマ（ストアデザイン部）","Activated","2025-06-01","","44000","","15","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000047","アイリスオーヤマ（空間デザイン部）","Activated","2025-06-01","","11000","","15","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000246","アイリスオーヤマ株式会社 Rendery Proプラン Freee自動請求契約","Activated","2025-05-01","","","FreeeImport","1","2","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000247","アイリスオーヤマ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2025-06-01","","","FreeeImport","1","2","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","CN-00000043","株式会社ジョイフル本田","解約","2025-05-01","2026-05-01","55000","","13","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","CN-00000103","株式会社ジョイフル本田（Pro１アカウント）","Activated","2026-06-01","","8000","","4","3","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","CN-00000219","株式会社ジョイフル本田 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2026-03-01","","55000","FreeeImport","4","3","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrHVYA1","株式会社 JR東日本建築設計","CN-00000050","株式会社JR東日本建築設計","Activated","2025-07-01","","8000","","21","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrHVYA1","株式会社 JR東日本建築設計","CN-00000266","JR東日本建築設計（アップセル）_2026-10-01","Draft","2026-10-01","2027-09-30","205000","Sales","145","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000051","大東建託株式会社","解約","2025-08-01","2025-11-01","132000","","4","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000070","大東建託株式会社　商品開発部","Activated","2026-01-01","2026-12-31","24000","","13","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000082","大東建託株式会社 流通設計部","解約","2026-02-01","2026-02-01","15000","","1","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000235","大東建託株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2025-09-01","","132000","FreeeImport","5","4","5","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000250","大東建託株式会社　商品開発部(アップセル)_2026-09-01","Draft","2026-09-01","2026-09-30","24000","Sales","3","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000258","大東建託株式会社 設計センター_2026-08-24","Draft","2026-08-24","2026-09-23","75000","Sales","2","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","CN-00000055","三井不動産レジデンシャルリース株式会社(ソリューション推進部)","Activated","2025-09-01","","132000","","12","6","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","CN-00000116","三井不動産レジデンシャルリース","解約","2024-10-01","2025-05-01","11000","","2","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000058","株式会社コスモスイニシア　デジタル推進部門","解約","2025-10-01","2026-04-01","100000","","6","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000059","株式会社コスモスイニシア　建築本部","Activated","2025-10-01","","98000","","18","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000060","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","Activated","2026-04-01","2027-03-31","70000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000061","株式会社コスモスイニシア　事業本部（流通事業）","Activated","2025-10-01","2027-03-31","42000","","18","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000062","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","Activated","2026-04-01","2027-03-31","30000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000176","Mig_freee請求移行_株式会社コスモスイニシア","Draft","2026-03-01","2026-05-31","","","4","4","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000249","株式会社コスモスイニシア 二次審査資料作成業務 単発契約","Activated","2026-08-01","2026-08-31","","FreeeImport","1","1","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000072","株式会社石勝エクステリア","Activated","2025-10-01","2027-03-31","100000","","21","5","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000079","株式会社石勝エクステリア(シングルサインオン分）","Activated","2025-10-01","2027-03-31","30000","","18","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000181","Mig_freee請求移行_株式会社石勝エクステリア","Draft","2026-03-01","2026-03-31","","","1","1","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrwFYAT","株式会社フジタ","CN-00000073","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","Activated","2026-02-01","2027-03-31","70000","","15","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrwFYAT","株式会社フジタ","CN-00000100","株式会社フジタ　BIM推進部","Activated","2026-04-01","2027-03-31","42000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrwFYAT","株式会社フジタ","CN-00000101","株式会社フジタ　設計統括部","Activated","2026-04-01","2027-03-31","98000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000076","株式会社アールシーコア","Activated","2026-01-01","","150000","","7","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000080","株式会社アールシーコア(セキュリティオプション月額）","Activated","2026-01-01","","100000","","8","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000173","Mig_freee請求移行_株式会社アールシーコア","Draft","2026-03-01","2026-06-30","","","5","4","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000248","株式会社アールシーコア Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-01-01","","","FreeeImport","7","3","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000083","野村不動産株式会社","Activated","2026-04-01","","150000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000084","野村不動産株式会社（シングルサインオン分）","Activated","2026-04-01","","30000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000190","Mig_freee請求移行_野村不動産株式会社","Draft","2026-04-01","2026-04-30","","","2","2","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000191","野村不動産株式会社　商業事業本部","Activated","2026-07-01","2027-06-30","198000","","6","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000213","野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-04-01","","180000","FreeeImport","8","3","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqgHYAT","コンチネンタルホーム株式会社","CN-00000087","コンチネンタルホーム株式会社","Expired","2026-04-01","2026-06-30","24000","","5","3","2","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqgHYAT","コンチネンタルホーム株式会社","CN-00000196","コンチネンタルホーム株式会社_2026-07-01","Activated","2026-07-01","","40000","","2","3","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000096","近鉄不動産","Activated","2026-04-01","","180000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000097","近鉄不動産(セキュリティオプション月額）","Activated","2026-04-01","","100000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000183","Mig_freee請求移行_近鉄不動産株式会社","Draft","2026-05-01","2026-06-30","","","2","2","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000207","近鉄不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-06-01","","195000","FreeeImport","4","1","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqaIYAT","株式会社西武開発","CN-00000123","株式会社西武開発","Activated","2024-12-01","2027-01-31","93500","","8","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqaIYAT","株式会社西武開発","CN-00000144","株式会社西武開発","解約","2025-04-01","2026-03-01","316800","","15","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTtIVYA1","株式会社シアーズホーム","CN-00000129","株式会社シアーズホーム(旧：株式会社サンタ不動産）","解約","2025-02-01","2026-03-01","11000","","14","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTtIVYA1","株式会社シアーズホーム","CN-00000218","株式会社シアーズホーム knock knock AI Basicプラン(50クレジット) Freee自動請求契約","Activated","2026-03-01","","11000","FreeeImport","2","1","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTtIWYA1","株式会社Housebank千葉","CN-00000131","株式会社Housebank千葉","解約","2025-01-01","2025-02-01","11000","","19","0","2","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTtIWYA1","株式会社Housebank千葉","CN-00000132","株式会社Housebank千葉","Activated","2025-01-01","","55000","","6","6","6","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqaNYAT","西和不動産株式会社","CN-00000139","西和不動産株式会社 イエしが 草津店","解約","2025-04-01","2025-06-01","11000","","3","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqaNYAT","西和不動産株式会社","CN-00000140","西和不動産株式会社 イエしが 大津店","解約","2025-03-01","2025-05-01","11000","","3","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTtIcYAL","株式会社ハートランド","CN-00000146","株式会社ハートランド","解約","2025-04-01","2026-06-01","11000","","15","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTtIcYAL","株式会社ハートランド","CN-00000180","Mig_freee請求移行_株式会社ハートランド","Draft","2026-03-01","2026-04-30","","","2","2","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTtIcYAL","株式会社ハートランド","CN-00000208","株式会社ハートランド knock knock AI Basicプラン(50クレジット) Freee自動請求契約","Activated","2026-05-01","","11000","FreeeImport","3","2","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","CN-00000195","株式会社サンテン・コーポレーションRendery導入_2026-07-01","Draft","2026-07-01","2026-07-31","32000","","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","CN-00000233","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","Activated","2026-07-01","","32000","FreeeImport","2","0","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001b3qNeYAI","株式会社パインウェル","CN-00000197","株式会社パインウェル_2026-07-01","Draft","2026-07-01","2026-07-31","8000","","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001b3qNeYAI","株式会社パインウェル","CN-00000234","株式会社パインウェル Rendery Proプラン Freee自動請求契約","Activated","2026-07-01","","8000","FreeeImport","2","1","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","CN-00000198","Rendery enterprise_2026-07-01","Draft","2026-07-01","2026-07-31","75000","","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","CN-00000228","株式会社ワンズ・レーニア Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-07-01","","75000","FreeeImport","2","2","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrvxYAD","清水建設 株式会社","CN-00000232","清水建設株式会社 九州支店設計部_2026-08-01","Draft","2026-08-01","2026-08-31","150000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrvxYAD","清水建設 株式会社","CN-00000231","清水建設株式会社 北九州営業所_2026-08-01","Draft","2026-08-01","2026-08-31","8000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrvxYAD","清水建設 株式会社","CN-00000238","清水建設株式会社 九州支店 リニューアル推進部_2026-08-01","Draft","2026-08-01","2026-08-31","8000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrvxYAD","清水建設 株式会社","CN-00000243","清水建設 株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","8000","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqxyYAD","株式会社店研創意","CN-00000236","株式会社店研創意_2026-08-01","Draft","2026-08-01","2026-08-31","270000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqxyYAD","株式会社店研創意","CN-00000263","株式会社店研創意(アップセル)_2026-09-01","Draft","2026-09-01","2026-09-30","120000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqWFYA1","森ビル株式会社","CN-00000239","森ビル株式会社_2026-08-01","Draft","2026-08-01","2026-08-31","96000","Sales","6","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqWFYA1","森ビル株式会社","CN-00000251","森ビル株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrqmYAD","センコー産業株式会社","CN-00000244","センコー産業株式会社_2026-08-01","Draft","2026-08-01","2026-08-31","8000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrqmYAD","センコー産業株式会社","CN-00000252","センコー産業株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","CN-00000253","株式会社スタジオ・ノア の取引_2026-08-19","Draft","2026-08-19","2026-09-18","8000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","CN-00000259","株式会社スタジオ・ノア Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001eIu0zYAC","株式会社池田工務店","CN-00000257","株式会社池田工務店_2026-08-06","Draft","2026-08-06","2026-09-05","8000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001eIu0zYAC","株式会社池田工務店","CN-00000260","株式会社池田工務店 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrS3YAL","株式会社 桂設計","CN-00000261","株式会社桂設計","Draft","2026-09-01","","","Sales","0","0","0","要確認","月次明細がなく請求・契約期間との突合が必要","","未確認","中"
"001RB00001VTrS3YAL","株式会社 桂設計","CN-00000264","株式会社桂設計_2026-09-01","Draft","2026-09-01","2026-09-30","16000","Sales","1","1","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
