"AccountId","AccountName","Contract","ContractName","Status","Start","End","MRR","Source","MonthlyRows","Invoices","Periods","判定","判定根拠","統合先契約","請求影響","優先度","レビュー順","確認ステップ"
"001RB00001VTrwFYAT","株式会社フジタ","CN-00000101","株式会社フジタ　設計統括部","Activated","2026-04-01","2027-03-31","98000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","36","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000076","株式会社アールシーコア","Activated","2026-01-01","","150000","","7","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","37","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000080","株式会社アールシーコア(セキュリティオプション月額）","Activated","2026-01-01","","100000","","8","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","38","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000173","Mig_freee請求移行_株式会社アールシーコア","Draft","2026-03-01","2026-06-30","","","5","4","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","39","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000248","株式会社アールシーコア Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-01-01","","","FreeeImport","7","3","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","40","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000083","野村不動産株式会社","Activated","2026-04-01","","150000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","41","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000084","野村不動産株式会社（シングルサインオン分）","Activated","2026-04-01","","30000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","42","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000190","Mig_freee請求移行_野村不動産株式会社","Draft","2026-04-01","2026-04-30","","","2","2","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","43","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000191","野村不動産株式会社　商業事業本部","Activated","2026-07-01","2027-06-30","198000","","6","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","44","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000213","野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-04-01","","180000","FreeeImport","8","3","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","45","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgHYAT","コンチネンタルホーム株式会社","CN-00000196","コンチネンタルホーム株式会社_2026-07-01","Activated","2026-07-01","","40000","","2","3","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","46","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000096","近鉄不動産","Activated","2026-04-01","","180000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","47","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000097","近鉄不動産(セキュリティオプション月額）","Activated","2026-04-01","","100000","","5","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","48","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000183","Mig_freee請求移行_近鉄不動産株式会社","Draft","2026-05-01","2026-06-30","","","2","2","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","49","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000207","近鉄不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-06-01","","195000","FreeeImport","4","1","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","50","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqaIYAT","株式会社西武開発","CN-00000123","株式会社西武開発","Activated","2024-12-01","2027-01-31","93500","","8","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","51","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTtIVYA1","株式会社シアーズホーム","CN-00000218","株式会社シアーズホーム knock knock AI Basicプラン(50クレジット) Freee自動請求契約","Activated","2026-03-01","","11000","FreeeImport","2","1","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","52","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTtIWYA1","株式会社Housebank千葉","CN-00000132","株式会社Housebank千葉","Activated","2025-01-01","","55000","","6","6","6","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","53","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTtIcYAL","株式会社ハートランド","CN-00000180","Mig_freee請求移行_株式会社ハートランド","Draft","2026-03-01","2026-04-30","","","2","2","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","54","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTtIcYAL","株式会社ハートランド","CN-00000208","株式会社ハートランド knock knock AI Basicプラン(50クレジット) Freee自動請求契約","Activated","2026-05-01","","11000","FreeeImport","3","2","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","55","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","CN-00000233","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","Activated","2026-07-01","","32000","FreeeImport","2","0","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","56","契約期間→月次明細→請求→見積→統合可否"
"001RB00001b3qNeYAI","株式会社パインウェル","CN-00000234","株式会社パインウェル Rendery Proプラン Freee自動請求契約","Activated","2026-07-01","","8000","FreeeImport","2","1","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","57","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","CN-00000228","株式会社ワンズ・レーニア Rendery Enterpriseプラン Freee自動請求契約","Activated","2026-07-01","","75000","FreeeImport","2","2","2","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","58","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrvxYAD","清水建設 株式会社","CN-00000243","清水建設 株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","8000","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","59","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqWFYA1","森ビル株式会社","CN-00000251","森ビル株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","60","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrqmYAD","センコー産業株式会社","CN-00000252","センコー産業株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","61","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","CN-00000259","株式会社スタジオ・ノア Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","62","契約期間→月次明細→請求→見積→統合可否"
"001RB00001eIu0zYAC","株式会社池田工務店","CN-00000260","株式会社池田工務店 Rendery Proプラン Freee自動請求契約","Activated","2026-08-01","","","FreeeImport","1","0","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","63","契約期間→月次明細→請求→見積→統合可否"
