Month,Contract,ContractName,Product,Count,MRRRows,MRRSum,Amounts,SourceIds,InvoiceIds,RecordIds
2026-06,CN-00000125,株式会社穂積住宅,knock knock AI Basicプラン(50クレジット),2,2,66000,33000|33000,None|None,a00RB000027fzNnYAI|a00RB000027fzNnYAI,a03RB00001RIREkYAP|a03RB00001UyXx2YAF
2026-06,CN-00000022,株式会社TRIAD,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BoYAJ|a00RB00002Am2BoYAJ,a03RB00001RIRElYAP|a03RB00001Uj0rvYAB
2026-06,CN-00000026,戸田建設(設計部:月額),[OLD] Rendery Enterpriseプラン(2025年9月まで),2,2,110000,55000|55000,None|None,a00RB00002Am2BqYAJ|a00RB00002Am2BqYAJ,a03RB00001RIREnYAP|a03RB00001Uj0ryYAB
2026-06,CN-00000133,株式会社エージェント,knock knock AI Basicプラン(50クレジット),2,2,22000,11000|11000,None|None,a00RB00002B0dy8YAB|a00RB00002B0dy8YAB,a03RB00001RIREpYAP|a03RB00001VH5KQYA1
2026-06,CN-00000135,株式会社博進コスモプラザ,knock knock AI Basicプラン(50クレジット),2,2,22000,11000|11000,None|None,a00RB00002AyetkYAB|a00RB00002AyetkYAB,a03RB00001RIREqYAP|a03RB00001VH5KRYA1
2026-06,CN-00000027,47内装株式会社,[OLD] Rendery Enterpriseプラン(2025年9月まで),2,2,110000,55000|55000,None|None,a00RB00002Am2BmYAJ|a00RB00002Am2BmYAJ,a03RB00001RIRErYAP|a03RB00001Uj0ruYAB
2026-06,CN-00000028,ANAスカイビルサービス株式会社　※郵送希望,Rendery Proプラン,2,2,32000,16000|16000,None|None,a00RB00002Am2BlYAJ|a00RB00002Am2BlYAJ,a03RB00001RIREtYAP|a03RB00001Uj0rtYAB
2026-06,CN-00000033,吉村紳　一級建築士事務所,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BkYAJ|a00RB00002Am2BkYAJ,a03RB00001RIREuYAP|a03RB00001Uj0rsYAB
2026-06,CN-00000036,株式会社デザインアーク,Rendery Enterpriseプラン,2,1,198000,55000|198000,None|None,a00RB00002BahLdYAJ|a00RB00002BahLdYAJ,a03RB00001RIREvYAP|a03RB00001VH5KPYA1
2026-06,CN-00000041,野原グループ株式会社,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BjYAJ|a00RB00002Am2BjYAJ,a03RB00001RIREwYAP|a03RB00001Uj0rrYAB
2026-06,CN-00000149,TC神鋼不動産株式会社,knock knock AI Basicプラン(50クレジット),2,1,11000,11000|11000,None|None,a00RB000027flsLYAQ|a00RB000027flsLYAQ,a03RB00001RIRF2YAP|a03RB00001Uj0sFYAR
2026-06,CN-00000152,ホームトレードセンター株式会社,knock knock AI Basicプラン(50クレジット),2,2,22000,11000|11000,None|None,a00RB000027fzNaYAI|a00RB000027fzNaYAI,a03RB00001RIRF4YAP|a03RB00001UyXx0YAF
2026-06,CN-00000153,株式会社アズスタット,knock knock AI Basicプラン(50クレジット),2,2,22000,11000|11000,None|None,a00RB000027fzNbYAI|a00RB000027fzNbYAI,a03RB00001RIRF5YAP|a03RB00001UyXx1YAF
2026-06,CN-00000053,JOA株式会社,[OLD] Rendery Enterpriseプラン(2025年9月まで),2,2,110000,55000|55000,None|None,a00RB00002Am2BrYAJ|a00RB00002Am2BrYAJ,a03RB00001RIRF6YAP|a03RB00001Uj0s2YAB
2026-06,CN-00000156,株式会社レーベントラスト,knock knock AI Proプラン(300クレジット),2,2,110000,55000|55000,None|None,a00RB00002Am2BsYAJ|a00RB00002Am2BsYAJ,a03RB00001RIRF7YAP|a03RB00001Uj0sGYAR
2026-06,CN-00000089,株式会社紀伊國屋書店,Rendery Proプラン,2,2,80000,40000|40000,None|None,a00RB00002Am2BbYAJ|a00RB00002Am2BbYAJ,a03RB00001RIRFCYA5|a03RB00001Uj0s4YAB
2026-06,CN-00000099,株式会社ルミネ,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BdYAJ|a00RB00002Am2BdYAJ,a03RB00001RIRFFYA5|a03RB00001Uj0s5YAB
2026-06,CN-00000105,西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BeYAJ|a00RB00002Am2BeYAJ,a03RB00001RIRFHYA5|a03RB00001Uj0s6YAB
