"Id","Name","InvoiceWork__c","Description__c","LineAmount__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000Nryjy2AB","MFILW-000187","a0FRB00000UtKw62AF","モニター等の機器設置作業","10000","a0CRB0000CcXZ6U2QW","要確認","取得済み","a01RB00001VeDeMYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryjz2AB","MFILW-000188","a0FRB00000UtKw62AF","設置作業、動作確認","15000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001VeDeNYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryk02AB","MFILW-000189","a0FRB00000UtKw62AF","モニター等の機器撤去作業","10000","a0CRB0000CcXZ6U2QW","要確認","取得済み","a01RB00001VeDeOYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryk12AB","MFILW-000190","a0FRB00000UtKw62AF","バックエンド：テスト用PCセットアップ","30000","a0CRB0000CcXZ6b2QG","要確認","取得済み","a01RB00001VeDePYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryk22AB","MFILW-000191","a0FRB00000UtKw62AF","バックエンド：小型モニターにiPad画面を表示","10000","a0CRB0000CcXZ6U2QW","要確認","取得済み","a01RB00001VeDeQYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryk32AB","MFILW-000192","a0FRB00000UtKw62AF","フロントエンド：テスト用PCセットアップ","30000","a0CRB0000CcXZ6b2QG","要確認","取得済み","a01RB00001VeDeRYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryk42AB","MFILW-000193","a0FRB00000UtKw62AF","フロントエンド：花挙動変更","10000","a0CRB0000CcXZ6U2QW","要確認","取得済み","a01RB00001VeDeSYAV","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nryk52AB","MFILW-000194","a0FRB00000UtKw62AF","フロントエンド：小型モニターにiPad画面を表示","20000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VeDeTYAV","Confirmed by migration rule: 受託開発"
"a0ERB00000Nryk62AB","MFILW-000195","a0FRB00000UtKw62AF","当日待機費用","15000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VeDeUYAV","Confirmed by migration rule: 受託開発"
"a0ERB00000NrzEb2AJ","MFILW-000203","a0FRB00000Ut0EN2AZ","Renderyを活用した伴走支援","160000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VdyeoYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrzHp2AJ","MFILW-000204","a0FRB00000UtLlh2AF","保守・運用費","630000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VeDecYAF","Confirmed by migration rule: 受託開発"
"a0ERB00000NrzOH2AZ","MFILW-000205","a0FRB00000UtM532AF","Rendery_Enterpriseプラン","198000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001VeDedYAF","Normalized ProductMaster.Name match."
"a0ERB00000NrzPw2AJ","MFILW-000209","a0FRB00000UtM9w2AF","パースディレクション","495000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VeDegYAF","Confirmed by migration rule: 受託開発"
"a0ERB00000NrzRV2AZ","MFILW-000210","a0FRB00000UtMBV2A3","Rendery　エンタープライズプラン","209000","a0CRB0000CcXZ6T2QW","要確認","反映済み","a01RB00001VeDehYAF","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrzRW2AZ","MFILW-000211","a0FRB00000UtMBW2A3","Rendery Enterpriseプラン_月額","132000","a0CRB0000CcXZ6T2QW","要確認","反映済み","a01RB00001VeDeiYAF","Confirmed by migration rule: [OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a0ERB00000NrzRX2AZ","MFILW-000212","a0FRB00000UtMBX2A3","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6i2QG","要確認","反映済み","a01RB00001VeDejYAF","Confirmed by migration rule: knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrzRY2AZ","MFILW-000213","a0FRB00000UtMBY2A3","Rendery_Pro_月額利用料","48000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDekYAF","Matched by unit price."
"a0ERB00000NrzRZ2AZ","MFILW-000214","a0FRB00000UtMBZ2A3","Rendery Enterpriseプラン10アカウント_月額","150000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001VeDelYAF","Matched by unit price."
"a0ERB00000NrzRa2AJ","MFILW-000215","a0FRB00000UtMBZ2A3","セキュリティオプション+_運用費用_月額","100000","a0CRB0000CcXZ6h2QG","要確認","反映済み","a01RB00001VeDemYAF","Confirmed by migration rule: Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrzRb2AJ","MFILW-000216","a0FRB00000UtMBa2AN","Rendery_Proプラン_２アカウント(月額費用)","16000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDenYAF","Matched by unit price."
"a0ERB00000NrzRc2AJ","MFILW-000217","a0FRB00000UtMBb2AN","KnockKnockAI_Proプラン","55000","a0CRB0000CcXZ6j2QG","要確認","反映済み","a01RB00001VeDeoYAF","Matched by unit price."
"a0ERB00000NrzRd2AJ","MFILW-000218","a0FRB00000UtMBc2AN","Rendery_Pro_3アカウント_月額費用","24000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDepYAF","Matched by unit price."
"a0ERB00000NrzRe2AJ","MFILW-000219","a0FRB00000UtMBd2AN","Rendery_Pro_月額費用","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDeqYAF","Matched by unit price."
"a0ERB00000NrzRf2AJ","MFILW-000220","a0FRB00000UtMBe2AN","KnockKnockAI_Proプラン(月額)","55000","a0CRB0000CcXZ6j2QG","要確認","反映済み","a01RB00001VeDerYAF","Matched by unit price."
"a0ERB00000NrzRg2AJ","MFILW-000221","a0FRB00000UtMBf2AN","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6i2QG","要確認","反映済み","a01RB00001VeDesYAF","Confirmed by migration rule: knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrzRh2AJ","MFILW-000222","a0FRB00000UtMBg2AN","Rendery_Pro_月額利用料","16000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDetYAF","Matched by unit price."
"a0ERB00000NrzRi2AJ","MFILW-000223","a0FRB00000UtMBh2AN","Rendery Enterpriseプラン5アカウント_月額","75000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001VeDeuYAF","Matched by unit price."
"a0ERB00000NrzRj2AJ","MFILW-000224","a0FRB00000UtMBi2AN","Rendery Proプラン2アカウント_月額費用(月払い)","16000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDevYAF","Matched by unit price."
"a0ERB00000NrzRk2AJ","MFILW-000225","a0FRB00000UtMBj2AN","Rendery_Proプラン_3アカウント(月額費用)","24000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDewYAF","Matched by unit price."
"a0ERB00000NrzRl2AJ","MFILW-000226","a0FRB00000UtMBk2AN","Rendery_Pro_月額利用料","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDexYAF","Matched by unit price."
"a0ERB00000NrzRm2AJ","MFILW-000227","a0FRB00000UtMBl2AN","Rendery Enterpriseプラン_5アカウント_月払い","75000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001VeDeyYAF","Matched by unit price."
"a0ERB00000NrzRn2AJ","MFILW-000228","a0FRB00000UtMBm2AN","Rendery Enterpriseプラン_5アカウント_月払い","75000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001VeDezYAF","Matched by unit price."
"a0ERB00000NrzRo2AJ","MFILW-000229","a0FRB00000UtMBn2AN","Rendery_Proプラン_1アカウント(月額費用)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDf0YAF","Matched by unit price."
"a0ERB00000NrzRp2AJ","MFILW-000230","a0FRB00000UtMBo2AN","Rendery Proプラン2アカウント_月額費用(月払い)","16000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001VeDf1YAF","Matched by unit price."
"a0ERB00000NrzUj2AJ","MFILW-000231","a0FRB00000UtMbJ2AV","事業開発検討","4000000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VeDf2YAF","Confirmed by migration rule: 受託開発"
"a0ERB00000NrzUk2AJ","MFILW-000232","a0FRB00000UtMbJ2AV","3Dモデル自動生成システム開発PoC","2000000","a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VeDf3YAF","Confirmed by migration rule: 受託開発"
"a0ERB00000OjnEr2AJ","MFILW-000249","a0FRB00000WiCuz2AF","Rendery_Proプラン_4アカウント(月額費用)","32000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZHzopYAD","Matched by unit price."
"a0ERB00000OjnOX2AZ","MFILW-000253","a0FRB00000Wifcv2AB","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6i2QG","確定済み","取得済み","a01RB00001ZIOTpYAP","Matched by unit price."
"a0ERB00000OjnWb2AJ","MFILW-000254","a0FRB00000WicaE2AR","Rendery_Proプラン_1アカウント(月額費用)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfVYAX","Matched by unit price."
"a0ERB00000OjnWc2AJ","MFILW-000255","a0FRB00000WicaF2AR","Rendery Proプラン5アカウント_月額","40000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfWYAX","Matched by unit price."
"a0ERB00000OjnWd2AJ","MFILW-000256","a0FRB00000WicaG2AR","Rendery_Proプラン_1アカウント(月額費用)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfXYAX","Matched by unit price."
"a0ERB00000OjnWe2AJ","MFILW-000257","a0FRB00000WicaH2AR","Rendery_Pro_月額利用料","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfYYAX","Matched by unit price."
"a0ERB00000OjnWf2AJ","MFILW-000258","a0FRB00000WicaI2AR","Rendery_Proプラン_1アカウント(月額費用)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfZYAX","Matched by unit price."
"a0ERB00000OjnWi2AJ","MFILW-000261","a0FRB00000WicaK2AR","Rendery_Proプラン_1アカウント(月額費用)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfaYAH","Matched by unit price."
"a0ERB00000OjnWj2AJ","MFILW-000262","a0FRB00000WicaL2AR","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfbYAH","Matched by unit price."
"a0ERB00000OjnWk2AJ","MFILW-000263","a0FRB00000WicaM2AR","KnockKnockAI_Basicプラン(月額)","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfcYAH","Matched by unit price."
"a0ERB00000OjnWn2AJ","MFILW-000266","a0FRB00000WicaP2AR","knock knock AI Basicプラン","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfdYAH","Matched by unit price."
"a0ERB00000OjnWo2AJ","MFILW-000267","a0FRB00000WicaQ2AR","knock knock AI_Basicプラン","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfeYAH","Matched by unit price."
"a0ERB00000OjnWp2AJ","MFILW-000268","a0FRB00000WicaR2AR","knock knock AI Proプラン(月額)","55000","a0CRB0000CcXZ6j2QG","要確認","反映済み","a01RB00001c70bCYAQ","Matched by unit price."
"a0ERB00000OjnWs2AJ","MFILW-000271","a0FRB00000WicaU2AR","knock knock AI_Basicプラン(月額)","33000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQffYAH","Matched by unit price."
"a0ERB00000OjnWt2AJ","MFILW-000272","a0FRB00000WicaV2AR","knock knock AI_Basicプラン","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfgYAH","Matched by unit price."
"a0ERB00000OjnWu2AJ","MFILW-000273","a0FRB00000WicaW2AR","knock knock AI_Basicプラン","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfhYAH","Matched by unit price."
"a0ERB00000Ojnd62AB","MFILW-000278","a0FRB00000WhTPO2A3","Rendery(Pro用)・月額料金","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfJYAX","Matched by unit price."
"a0ERB00000Ojnd82AB","MFILW-000280","a0FRB00000WhTPQ2A3","Rendery_Proプラン(月額)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfKYAX","Matched by unit price."
"a0ERB00000Ojnd92AB","MFILW-000281","a0FRB00000WhTPR2A3","Rendery_Proプラン(月額)","16000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfLYAX","Matched by unit price."
"a0ERB00000OjndA2AR","MFILW-000282","a0FRB00000WhTPS2A3","Rendery(エンタープライズプラン)","55000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfMYAX","Matched by unit price."
"a0ERB00000OjndC2AR","MFILW-000284","a0FRB00000WhTPU2A3","Rendery_Pro_月額利用料","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfNYAX","Matched by unit price."
"a0ERB00000OjndE2AR","MFILW-000286","a0FRB00000WhTPW2A3","Rendery_Pro(月額)","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfOYAX","Matched by unit price."
"a0ERB00000OjndF2AR","MFILW-000287","a0FRB00000WhTPX2A3","Rendery(エンタープライズプラン)","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfPYAX","Matched by unit price."
"a0ERB00000OjndG2AR","MFILW-000288","a0FRB00000WhTPY2A3","Rendery　エンタープライズプラン(月額)","55000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfQYAX","Matched by unit price."
"a0ERB00000OjndH2AR","MFILW-000289","a0FRB00000WhTPZ2A3","knock knock AI Basicプラン(月額)","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfRYAX","Matched by unit price."
"a0ERB00000OjndI2AR","MFILW-000290","a0FRB00000WhTPa2AN","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfSYAX","Matched by unit price."
"a0ERB00000OjndJ2AR","MFILW-000291","a0FRB00000WhTPb2AN","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfTYAX","Matched by unit price."
"a0ERB00000OjndL2AR","MFILW-000293","a0FRB00000WhTPd2AN","Rendery Enterpriseプラン_月額","55000","a0CRB0000CcXZ6T2QW","要確認","反映済み","a01RB00001ZIQfUYAX","Matched by unit price."
"a0ERB00000Ojnht2AB","MFILW-000295","a0FRB00000WihDJ2AZ","KnockKnockAI_Proプラン(月額)","55000","a0CRB0000CcXZ6j2QG","要確認","反映済み","a01RB00001ZIQfiYAH","Matched by unit price."
"a0ERB00000Ojnhu2AB","MFILW-000296","a0FRB00000WihDK2AZ","Rendery（月額）","64000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfjYAH","Matched by unit price."
"a0ERB00000Ojnhv2AB","MFILW-000297","a0FRB00000WihDL2AZ","Rendery　エンタープライズプラン","550000","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfkYAH","Matched by unit price."
"a0ERB00000Ojnhw2AB","MFILW-000298","a0FRB00000WihDM2AZ","Rendery_Pro_月額利用料_注文番号：405342480","12800","a0CRB0000CcXZ6R2QW","要確認","取得済み","a01RB00001ZIQflYAH","Matched by unit price."
"a0ERB00000Ojni02AB","MFILW-000302","a0FRB00000WihDP2AZ","Rendery Proプラン_月額","8000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfmYAH","Matched by unit price."
"a0ERB00000Ojni62AB","MFILW-000308","a0FRB00000WihDU2AZ","Rendery_Proプラン_1アカウント(年間費用)","96000","a0CRB0000CcXZ6Q2QW","要確認","反映済み","a01RB00001ZIQfnYAH","Matched by unit price."
"a0ERB00000OjniA2AR","MFILW-000312","a0FRB00000WihDX2AZ","Rendery_Pro_1アカウント年間利用料(アーキデザイン株式会社様)","76800","a0CRB0000CcXZ6R2QW","要確認","取得済み","a01RB00001ZIQfoYAH","Matched by unit price."
"a0ERB00000OjniB2AR","MFILW-000313","a0FRB00000WihDY2AZ","Rendery Enterpriseプラン_5アカウント_月払い","75000","a0CRB0000CcXZ6V2QW","要確認","反映済み","a01RB00001ZIQfpYAH","Matched by unit price."
"a0ERB00000OjwBh2AJ","MFILW-000316","a0FRB00000WjSKH2A3","Rendery Proプラン5アカウント_月額","40000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70baYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwBi2AJ","MFILW-000317","a0FRB00000WjSKI2A3","Rendery_Proプラン_1アカウント(月額費用)","8000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bbYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwBj2AJ","MFILW-000318","a0FRB00000WjSKJ2A3","Rendery_Pro_月額利用料","8000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bcYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwBl2AJ","MFILW-000320","a0FRB00000WjSKL2A3","knock knock AI_Basicプラン(月額)","11000","a0CRB0000CcXZ6i2QG","確定済み","反映済み","a01RB00001c70bdYAA","Matched by unit price."
"a0ERB00000OjwBs2AJ","MFILW-000327","a0FRB00000WjSKS2A3","knock knock AI Proプラン(月額)","55000","a0CRB0000CcXZ6j2QG","確定済み","反映済み","a01RB00001c70beYAA","Matched by unit price and product name."
"a0ERB00000OjwQG2AZ","MFILW-000339","a0FRB00000WjTBY2A3","Rendery(Pro用)・月額料金","8000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bfYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwQI2AZ","MFILW-000341","a0FRB00000WjTBa2AN","Rendery_Proプラン(月額)","8000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bgYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwQJ2AZ","MFILW-000342","a0FRB00000WjTBb2AN","Rendery_Proプラン(月額)","16000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bhYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwQK2AZ","MFILW-000343","a0FRB00000WjTBc2AN","Rendery(エンタープライズプラン)","55000","a0CRB0000CcXZ6T2QW","確定済み","反映済み","a01RB00001c70biYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwQM2AZ","MFILW-000345","a0FRB00000WjTBe2AN","Rendery_Pro_月額利用料","8000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bjYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwQP2AZ","MFILW-000348","a0FRB00000WjTBh2AN","Rendery_Pro(月額)","8000","a0CRB0000CcXZ6Q2QW","確定済み","反映済み","a01RB00001c70bkYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000OjwQQ2AZ","MFILW-000349","a0FRB00000WjTBi2AN","Rendery(エンタープライズプラン)","11000","a0CRB0000CcXZ6T2QW","確定済み","反映済み","a01RB00001c70blYAA","過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
